CheckRTSPUrls | 2019-07-17 18:45:31.663 | INFO    | 
CheckRTSPUrls | 2019-07-17 18:45:31.663 | INFO    |  # START CheckRTSPUrlsClient. list:rtsp_url1.txt, batch:15, save time:600sec
CheckRTSPUrls | 2019-07-17 18:45:31.663 | INFO    | total 36 in rtsp_url1.txt
CheckRTSPUrls | 2019-07-17 18:45:31.664 | INFO    |  # Starting RTSP threads. 0~. 15 threads...
CheckRTSPUrls | 2019-07-17 18:45:31.665 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.130:554/A10100011
CheckRTSPUrls | 2019-07-17 18:45:31.666 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.130:554/A10100013
CheckRTSPUrls | 2019-07-17 18:45:31.668 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.130:554/A10100016
CheckRTSPUrls | 2019-07-17 18:45:31.669 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.130:554/A10100019
CheckRTSPUrls | 2019-07-17 18:45:31.669 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.131:554/A10100029
CheckRTSPUrls | 2019-07-17 18:45:31.670 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.131:554/A10100030
CheckRTSPUrls | 2019-07-17 18:45:31.671 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.131:554/A10100036
CheckRTSPUrls | 2019-07-17 18:45:31.672 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.131:554/A10100042
CheckRTSPUrls | 2019-07-17 18:45:31.673 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10100056
CheckRTSPUrls | 2019-07-17 18:45:31.674 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10100058
CheckRTSPUrls | 2019-07-17 18:45:31.675 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10100060
CheckRTSPUrls | 2019-07-17 18:45:31.676 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10100068
CheckRTSPUrls | 2019-07-17 18:45:31.677 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10100074
CheckRTSPUrls | 2019-07-17 18:45:31.678 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10100078
CheckRTSPUrls | 2019-07-17 18:45:31.678 | INFO    |  # Start Process : rtsp://guest:guest@192.168.201.132:554/A10100082
CheckRTSPUrls | 2019-07-17 18:46:01.717 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.130:554/A10100013
CheckRTSPUrls | 2019-07-17 18:46:01.717 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.130:554/A10100011
CheckRTSPUrls | 2019-07-17 18:46:01.717 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.130:554/A10100013) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.717 | ERROR   |  # failure of initialization. Process(rtsp://guest:guest@192.168.201.130:554/A10100011) of Multi process
CheckRTSPUrls | 2019-07-17 18:46:01.717 | ERROR   |  @ Error: OpenCV VideoCapture is not opened : rtsp://guest:guest@192.168.201.130:554/A10100016
